name,type,cuisine_tags,style_tags,address,address_en,lat,lng,district,google_rating,or_rating,or_score,review_count,bookmark_count,price_range,google_place_id,booking_url,booking_platform,opening_hours,is_open_now,popular_dishes,award_status,source_url,is_secret_gem,last_updated,source
Milu Thai มิลู่ไทย (百樂中心),restaurant,"[""thai""]",[],耀華街3號百樂中心2樓,"2/F, Bartlock Centre, 3 Yiu Wa Street",22.2776822,114.18218330000002,銅鑼灣,,4.37823,0.7055397006720073,1681,155942,$101-200,,,,Mo-Su 12:00-22:30,False,"[""咖哩三重奏"", ""火焰燒雞"", ""火山排骨"", ""爆炸炒蟹"", ""青檸酸辣明爐烏頭"", ""泰式蛋包金邊粉""]",0,https://www.openrice.com/zh/hongkong/r-milu-thai-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%B9%E0%B9%88%E0%B9%84%E0%B8%97%E0%B8%A2-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%B3%B0%E5%9C%8B%E8%8F%9C-%E6%B5%B7%E9%AE%AE-r588815,false,2026-04-13,openrice
日月堂,restaurant,"[""taiwanese""]",[],興業街14號永興工業大廈4樓C2室,"Room C2, 4/F, Wing Hing Industrial Building, 14 Hing Yip Street",22.3091309,114.2244681,觀塘,4.0,4.425284,0.6896360735471133,1281,33540,$51-100,,,,Mo-Su 12:00-21:00,False,[],0,https://www.openrice.com/zh/hongkong/r-%E6%97%A5%E6%9C%88%E5%A0%82-%E8%A7%80%E5%A1%98-%E5%8F%B0%E7%81%A3%E8%8F%9C-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r682226,false,2026-04-13,openrice
Milu Thai มิลู่ไทย (亞士厘道),restaurant,"[""thai""]",[],亞士厘道24-38號天星大廈4樓,"4/F, Astoria Building, 24-38 Ashley Road",22.2976438574103,114.170547272144,尖沙咀,4.6,4.514098,0.6875288573351109,638,150638,$201-400,,,,Mo-Su 12:00-22:30,False,[],0,https://www.openrice.com/zh/hongkong/r-milu-thai-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%B9%E0%B9%88%E0%B9%84%E0%B8%97%E0%B8%A2-%E5%B0%96%E6%B2%99%E5%92%80-%E6%B3%B0%E5%9C%8B%E8%8F%9C-r808150,false,2026-04-13,openrice
驚安燒肉商店,bar,"[""japanese""]",[],金馬倫道48號中國保險大廈3樓C號舖,"Shop C, 3/F, China Insurance Building, 48 Cameron Road",22.299106,114.17504,尖沙咀,,4.545522,0.6719786071206028,1103,55398,$201-400,,,,,True,[],0,https://www.openrice.com/zh/hongkong/r-%E9%A9%9A%E5%AE%89%E7%87%92%E8%82%89%E5%95%86%E5%BA%97-%E5%B0%96%E6%B2%99%E5%92%80-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E9%85%92-r691566,false,2026-04-13,openrice
Black Coffee,restaurant,"[""international""]","[""cafe""]",廣華街3號地下3號舖,"Shop 3, G/F, 3 Kwong Wa Street",22.3163596,114.1728713,旺角,,4.331912,0.6679609772716577,933,37132,$101-200,,,,Mo-Su 12:00-22:00,False,[],0,https://www.openrice.com/zh/hongkong/r-black-coffee-%E6%97%BA%E8%A7%92-%E5%A4%9A%E5%9C%8B%E8%8F%9C-r667415,false,2026-04-13,openrice
Undici,restaurant,"[""western""]","[""cafe""]",耀華街3號百樂中心11樓1101A-B號舖,"Shop 1101A-B, 11/F, Bartlock Centre, 3 Yiu Wa Street",22.2777039,114.1821166,銅鑼灣,,4.456043,0.641332328407386,649,27606,$101-200,,,,Mo-Su 12:00-16:00,False,[],0,https://www.openrice.com/zh/hongkong/r-undici-%E9%8A%85%E9%91%BC%E7%81%A3-%E8%A5%BF%E5%BC%8F-r725700,false,2026-04-13,openrice
The Pearl,bar,"[""international""]",[],加連威老道20-22號瑞生尖沙咀酒店4樓,"4/F, Attitude on Granville, 20-22 Granville Road",22.2997587,114.1737769,尖沙咀,,4.493594,0.6398164245881934,1315,44080,$201-400,,https://www.openrice.com/zh/hongkong/r-the-pearl-%E5%B0%96%E6%B2%99%E5%92%80-%E5%A4%9A%E5%9C%8B%E8%8F%9C-r686455,openrice,Mo-Su 12:00-02:00,True,[],0,https://www.openrice.com/zh/hongkong/r-the-pearl-%E5%B0%96%E6%B2%99%E5%92%80-%E5%A4%9A%E5%9C%8B%E8%8F%9C-r686455,false,2026-04-13,openrice
捌加廿陸天婦羅居酒屋,bar,"[""japanese"", ""izakaya""]","[""izakaya""]",窩打老道31-39號翠園大廈一期地下33A號舖,"Shop 33A, G/F, Tsui Yuen Mansion Phase 1, 31-39 Waterlood Road",22.316153,114.1734399,旺角,4.5,4.529505,0.6310160513643824,583,26338,$51-100,,,,Mo-Su 12:00-15:15,False,[],0,https://www.openrice.com/zh/hongkong/r-%E6%8D%8C%E5%8A%A0%E5%BB%BF%E9%99%B8%E5%A4%A9%E5%A9%A6%E7%BE%85%E5%B1%85%E9%85%92%E5%B1%8B-%E6%97%BA%E8%A7%92-%E6%97%A5%E6%9C%AC%E8%8F%9C-r800203,false,2026-04-13,openrice
漢城美食,restaurant,"[""korean""]",[],金巴利道74-76號地舖,"G/F, 74-76 Kimberley Road",22.301842359625564,114.17549014091492,尖沙咀,4.3,4.187001,0.6154546397784648,643,9775,$101-200,,https://www.openrice.com/zh/hongkong/r-%E6%BC%A2%E5%9F%8E%E7%BE%8E%E9%A3%9F-%E5%B0%96%E6%B2%99%E5%92%80-%E9%9F%93%E5%9C%8B%E8%8F%9C-r86247,openrice,Mo-Su 12:00-15:00,False,[],0,https://www.openrice.com/zh/hongkong/r-%E6%BC%A2%E5%9F%8E%E7%BE%8E%E9%A3%9F-%E5%B0%96%E6%B2%99%E5%92%80-%E9%9F%93%E5%9C%8B%E8%8F%9C-r86247,false,2026-04-13,openrice
泰濃麵 (樂道),restaurant,"[""thai""]",[],樂道7號嘉樂大廈地下A號舖,"Shop A, G/F, Kar Lock Building, 7 Lock Road",22.2968984,114.17145470000003,尖沙咀,4.2,4.310645,0.6088985626691908,1007,30122,$51-100,,,,Mo-Su 12:00-21:45,False,[],0,https://www.openrice.com/zh/hongkong/r-%E6%B3%B0%E6%BF%83%E9%BA%B5-%E5%B0%96%E6%B2%99%E5%92%80-%E6%B3%B0%E5%9C%8B%E8%8F%9C-r582531,false,2026-04-13,openrice
